Airline,Airline ID,Source airport ID,Source airport ,Destination airport ID,Destination airport ,Codeshare,Stops,Equipment,Price,Source,Destination,Date_of_Journey
Vistara,2B,410,NUX,4364,SVX,2975,0,CR2,3687,Chennai,Kolkata,18/06/2019
Air India,2B,410,OVB,4078,CEK,2968,0,CR2,13227,Kolkata,Banglore,1/05/2019
IndiGo,2B,410,OVB,4078,SVX,2975,0,CR2,4423,Banglore,Delhi,6/04/2019
Jet Airways,2B,410,SVX,2975,KZN,2990,0,CR2,10919,Delhi,Cochin,15/06/2019
Jet Airways,2B,410,SVX,2975,NBC,6969,0,CR2,12373,Delhi,Cochin,18/05/2019
IndiGo,2B,410,SVX,2975,NJC,2972,0,CR2,5894,Delhi,Cochin,27/06/2019
SpiceJet,2B,410,SVX,2975,NUX,4364,0,CR2,4649,Kolkata,Banglore,21/05/2019
Air India,2B,410,SVX,2975,OVB,4078,0,CR2,6245,Kolkata,Banglore,18/05/2019
Jet Airways,2B,410,TGK,\N,DME,4029,0,CR2,19225,Banglore,New Delhi,06/03/2019
Jet Airways,2B,410,UUA,6160,DME,4029,0,CR2,14924,Delhi,Cochin,3/06/2019
Multiple carriers,2B,410,UUA,6160,LED,2948,0,CR2,9646,Delhi,Cochin,21/05/2019
Air India,2B,410,UUA,6160,NJC,2972,0,CR2,8714,Banglore,New Delhi,15/03/2019
Jet Airways,2G,1654,BTK,2936,IKT,2937,0,A81,12373,Delhi,Cochin,18/05/2019
Air Asia,2G,1654,BTK,2936,OVB,4078,0,A81,3383,Banglore,Delhi,6/05/2019
Multiple carriers,2G,1654,CEK,2968,OVB,4078,0,A81,13062,Delhi,Cochin,21/03/2019
SpiceJet,2G,1654,HTA,2935,IKT,2937,0,AN4,3527,Banglore,New Delhi,24/03/2019
IndiGo,2G,1654,IKT,2937,BTK,2936,0,A81,3943,Banglore,Delhi,27/05/2019
Air India,2G,1654,IKT,2937,HTA,2935,0,AN4,4667,Chennai,Kolkata,3/05/2019
Air India,2G,1654,IKT,2937,KCK,\N,0,AN4,6117,Kolkata,Banglore,15/05/2019
Jet Airways,2G,1654,IKT,2937,ODO,8944,0,AN4,11150,Delhi,Cochin,27/06/2019
Jet Airways,2G,1654,IKT,2937,OVB,4078,0,A81,7202,Delhi,Cochin,9/03/2019
Jet Airways,2G,1654,IKT,2937,UKX,6924,0,AN4,12121,Kolkata,Banglore,1/05/2019
IndiGo,2G,1654,IKT,2937,ULK,9026,0,AN4,4377,Banglore,New Delhi,24/03/2019
IndiGo,2G,1654,IKT,2937,YKS,2923,0,A81,3943,Banglore,Delhi,18/06/2019
Air Asia,2G,1654,KCK,\N,IKT,2937,0,AN4,4483,Banglore,Delhi,3/04/2019
Jet Airways,2G,1654,MJZ,2925,OVB,4078,0,A81,14231,Kolkata,Banglore,24/03/2019
Air India,2G,1654,ODO,8944,IKT,2937,0,AN4,17345,Banglore,New Delhi,01/03/2019
Vistara,2G,1654,OVB,4078,BTK,2936,0,A81,7414,Chennai,Kolkata,6/03/2019
Multiple carriers,2G,1654,OVB,4078,CEK,2968,0,A81,8073,Delhi,Cochin,6/05/2019
Vistara,2G,1654,OVB,4078,IKT,2937,0,A81,12395,Mumbai,Hyderabad,6/03/2019
Air India,2G,1654,UKX,6924,IKT,2937,0,AN4,8366,Kolkata,Banglore,6/06/2019
Air India,2G,1654,ULK,9026,IKT,2937,0,AN4,5117,Delhi,Cochin,3/04/2019
Multiple carriers,2G,1654,YKS,2923,IKT,2937,0,A81,12524,Delhi,Cochin,3/06/2019
IndiGo,2I,8359,AYP,2786,LIM,2789,0,142,7191,Delhi,Cochin,15/05/2019
Vistara,2I,8359,CUZ,2812,LIM,2789,0,142 141,3687,Chennai,Kolkata,24/05/2019
IndiGo,2I,8359,CUZ,2812,PEM,2808,0,142,5894,Delhi,Cochin,24/06/2019
Vistara,2I,8359,HUU,6067,LIM,2789,0,141,5403,Banglore,Delhi,24/04/2019
Air India,2I,8359,IQT,2801,PCL,2781,0,143,3625,Mumbai,Hyderabad,6/05/2019
Air India,2I,8359,IQT,2801,TPP,2806,0,142,10861,Delhi,Cochin,21/05/2019
IndiGo,2I,8359,LIM,2789,AYP,2786,0,142,6297,Chennai,Kolkata,12/03/2019
Jet Airways,2I,8359,LIM,2789,CUZ,2812,0,142 141,5678,Mumbai,Hyderabad,1/06/2019
Jet Airways,2I,8359,LIM,2789,HUU,6067,0,141,9134,Banglore,New Delhi,09/03/2019
Multiple carriers,2I,8359,LIM,2789,PCL,2781,0,143 146,10791,Delhi,Cochin,24/06/2019
Jet Airways,2I,8359,LIM,2789,TPP,2806,0,142 146,12819,Delhi,Cochin,24/06/2019
IndiGo,2I,8359,PCL,2781,IQT,2801,0,143,6893,Delhi,Cochin,21/03/2019
Vistara,2I,8359,PCL,2781,LIM,2789,0,143 146,7240,Banglore,New Delhi,09/03/2019
GoAir,2I,8359,PCL,2781,TPP,2806,0,146,3898,Banglore,Delhi,3/04/2019
IndiGo,2I,8359,PEM,2808,CUZ,2812,0,142,4049,Mumbai,Hyderabad,3/04/2019
Jet Airways,2I,8359,TPP,2806,IQT,2801,0,142,10262,Delhi,Cochin,15/06/2019
SpiceJet,2I,8359,TPP,2806,LIM,2789,0,142 146,3332,Chennai,Kolkata,21/03/2019
Jet Airways,2I,8359,TPP,2806,PCL,2781,0,146,10844,Kolkata,Banglore,9/06/2019
Jet Airways,2J,470,ABJ,253,BOY,247,0,CRJ,7229,Banglore,New Delhi,24/03/2019
Jet Airways,2J,470,ABJ,253,OUA,246,0,E70 CRJ M87,13941,Kolkata,Banglore,6/05/2019
IndiGo,2J,470,ACC,248,OUA,246,0,CRJ,5894,Delhi,Cochin,27/06/2019
Multiple carriers,2J,470,BKO,1044,ABJ,253,0,M87,10197,Delhi,Cochin,18/05/2019
Jet Airways,2J,470,BKO,1044,DKR,1084,0,M87,13712,Banglore,New Delhi,06/03/2019
IndiGo,2J,470,BKO,1044,OUA,246,0,CRJ,5636,Delhi,Cochin,24/06/2019
Jet Airways,2J,470,BOY,247,ABJ,253,0,CRJ,13014,Delhi,Cochin,6/06/2019
Jet Airways,2J,470,BOY,247,OUA,246,0,CRJ,7064,Kolkata,Banglore,1/04/2019
Jet Airways,2J,470,COO,245,LFW,298,0,M87,10703,Kolkata,Banglore,24/05/2019
Multiple carriers,2J,470,COO,245,OUA,246,0,M87,9646,Delhi,Cochin,27/05/2019
Multiple carriers,2J,470,DKR,1084,BKO,1044,0,M87,17057,Delhi,Cochin,6/03/2019
Jet Airways,2J,470,DKR,1084,OUA,246,0,M87,13817,Banglore,New Delhi,12/03/2019
Air India,2J,470,LFW,298,OUA,246,0,M87 CRJ,13748,Delhi,Cochin,6/03/2019
Air India,2J,470,NIM,280,OUA,246,0,CRJ,4880,Kolkata,Banglore,21/04/2019
IndiGo,2J,470,OUA,246,ABJ,253,0,E70 CRJ M87,3540,Chennai,Kolkata,21/06/2019
SpiceJet,2J,470,OUA,246,ACC,248,0,CRJ,3257,Banglore,Delhi,15/05/2019
Jet Airways,2J,470,OUA,246,BKO,1044,0,M87 CRJ,6478,Banglore,Delhi,3/06/2019
Jet Airways,2J,470,OUA,246,BOY,247,0,CRJ,8040,Mumbai,Hyderabad,18/06/2019
Jet Airways,2J,470,OUA,246,COO,245,0,M87,14300,Delhi,Cochin,12/06/2019
Jet Airways,2J,470,OUA,246,DKR,1084,0,M87,14781,Kolkata,Banglore,15/05/2019
Jet Airways,2J,470,OUA,246,LFW,298,0,CRJ,14939,Kolkata,Banglore,9/06/2019
Jet Airways,2J,470,OUA,246,NIM,280,0,CRJ,10262,Delhi,Cochin,24/06/2019
Air India,2K,1338,BOG,2709,GYE,2673,0,319,6528,Kolkata,Banglore,12/05/2019
Air India,2K,1338,BOG,2709,UIO,2688,0,319 320,6121,Banglore,Delhi,1/05/2019
Jet Airways,2K,1338,CLO,2715,GYE,2673,0,319,13029,Delhi,Cochin,18/05/2019
Multiple carriers,2K,1338,GYE,2673,BOG,2709,0,319,11421,Delhi,Cochin,27/03/2019
Multiple carriers,2K,1338,GYE,2673,CLO,2715,0,319,7574,Delhi,Cochin,27/03/2019
Air India,2K,1338,GYE,2673,SCY,6045,0,319 320,11596,Delhi,Cochin,9/05/2019
Jet Airways,2K,1338,GYE,2673,UIO,2688,0,320 319,15129,Delhi,Cochin,24/05/2019
Jet Airways,2K,1338,OCC,2670,UIO,2688,0,319,13555,Banglore,New Delhi,18/03/2019
IndiGo,2K,1338,SCY,6045,GYE,2673,0,319 320,5780,Banglore,Delhi,12/04/2019
Vistara,2K,1338,UIO,2688,BOG,2709,0,319 320,9397,Kolkata,Banglore,12/05/2019
Jet Airways,2K,1338,UIO,2688,GYE,2673,0,319,17024,Delhi,Cochin,6/03/2019
GoAir,2K,1338,UIO,2688,OCC,2670,0,319,5281,Delhi,Cochin,27/06/2019
Multiple carriers,2L,2750,BDS,1506,ZRH,1678,0,100,10348,Delhi,Cochin,18/05/2019
Air India,2L,2750,BOD,1264,ZRH,1678,0,100,12677,Delhi,Cochin,6/03/2019
Multiple carriers,2L,2750,BRS,490,ZRH,1678,0,100,15147,Delhi,Cochin,3/03/2019
Vistara,2L,2750,GVA,1665,LPA,1054,0,319,4668,Banglore,Delhi,12/06/2019
Jet Airways,2L,2750,LCA,1197,ZRH,1678,0,319,15554,Delhi,Cochin,9/05/2019
SpiceJet,2L,2750,LPA,1054,ZRH,1678,0,319,3971,Banglore,Delhi,9/04/2019
Air India,2L,2750,RMF,4197,ZRH,1678,0,319,3100,Mumbai,Hyderabad,3/05/2019
Jet Airways,2L,2750,TFS,1056,GVA,1665,0,319,9663,Kolkata,Banglore,6/05/2019
Air India,2L,2750,ZRH,1678,BDS,1506,0,100,27430,Delhi,Cochin,1/03/2019
IndiGo,2L,2750,ZRH,1678,BOD,1264,0,100,3540,Chennai,Kolkata,12/05/2019
Air India,2L,2750,ZRH,1678,BRS,490,0,100,10676,Kolkata,Banglore,21/05/2019
Jet Airways,2L,2750,ZRH,1678,LCA,1197,0,319,13044,Kolkata,Banglore,12/06/2019
Jet Airways,2L,2750,ZRH,1678,LPA,1054,0,319,14388,Kolkata,Banglore,6/05/2019
IndiGo,2L,2750,ZRH,1678,RMF,4197,0,319,3943,Banglore,Delhi,24/06/2019
IndiGo,2N,3652,AJR,730,LYC,719,0,ATP,3597,Chennai,Kolkata,3/06/2019
Air India,2N,3652,ARN,737,GEV,715,0,ATP,5932,Banglore,New Delhi,21/03/2019
Jet Airways,2N,3652,ARN,737,HAD,709,0,SF3,10262,Delhi,Cochin,15/06/2019
Vistara,2N,3652,ARN,737,JKG,688,0,ATP SF3,6216,Delhi,Cochin,12/05/2019
IndiGo,2N,3652,ARN,737,KRF,718,0,ATP,4804,Kolkata,Banglore,15/06/2019
Multiple carriers,2N,3652,ARN,737,KSD,5595,0,SF3,14067,Delhi,Cochin,21/05/2019
Jet Airways,2N,3652,ARN,737,LYC,719,0,ATP,15129,Delhi,Cochin,18/05/2019
Jet Airways,2N,3652,ARN,737,MHQ,442,0,SF3,13376,Delhi,Cochin,6/06/2019
Air India,2N,3652,ARN,737,OER,722,0,ATR,10441,Delhi,Cochin,27/06/2019
Jet Airways,2N,3652,ARN,737,POR,448,0,SF3,4030,Banglore,Delhi,24/05/2019
Jet Airways,2N,3652,ARN,737,TRF,664,0,SF3,17024,Delhi,Cochin,3/03/2019
Multiple carriers,2N,3652,ARN,737,VBY,746,0,SF3 ATP,13017,Delhi,Cochin,9/04/2019
GoAir,2N,3652,ARN,737,VHM,729,0,SF3,6686,Kolkata,Banglore,6/06/2019
IndiGo,2N,3652,ARN,737,VXO,711,0,SF3,5636,Delhi,Cochin,15/06/2019
IndiGo,2N,3652,GEV,715,ARN,737,0,ATP,6442,Delhi,Cochin,9/06/2019
Multiple carriers,2N,3652,GEV,715,KRF,718,0,ATP,9486,Delhi,Cochin,21/05/2019
Jet Airways,2N,3652,HAD,709,ARN,737,0,SF3 ATP,10844,Kolkata,Banglore,21/05/2019
Jet Airways,2N,3652,HAD,709,JKG,688,0,ATP SF3,15318,Delhi,Cochin,3/06/2019
Air India,2N,3652,HAD,709,VXO,711,0,SF3,5117,Delhi,Cochin,3/04/2019
IndiGo,2N,3652,HMV,5599,VHM,729,0,SF3,6147,Delhi,Cochin,24/06/2019
Multiple carriers,2N,3652,JKG,688,ARN,737,0,ATP SF3,7005,Delhi,Cochin,9/06/2019
SpiceJet,2N,3652,JKG,688,HAD,709,0,ATP SF3,3873,Kolkata,Banglore,3/04/2019
Jet Airways,2N,3652,KOK,435,POR,448,0,SF3,9270,Delhi,Cochin,21/03/2019
GoAir,2N,3652,KRF,718,ARN,737,0,ATP,3898,Banglore,Delhi,27/06/2019
Jet Airways,2N,3652,KRF,718,GEV,715,0,ATP,14781,Kolkata,Banglore,12/05/2019
Jet Airways,2N,3652,KSD,5595,ARN,737,0,SF3,8586,Kolkata,Banglore,24/05/2019
Air India,2N,3652,LYC,719,AJR,730,0,ATP,10697,Kolkata,Banglore,9/05/2019
Jet Airways,2N,3652,LYC,719,ARN,737,0,ATP,14300,Delhi,Cochin,27/06/2019
IndiGo,2N,3652,MHQ,442,ARN,737,0,SF3,8855,Banglore,New Delhi,03/03/2019
Jet Airways,2N,3652,MHQ,442,TKU,460,0,SF3,10844,Kolkata,Banglore,12/05/2019
Jet Airways,2N,3652,OER,722,ARN,737,0,ATR,17024,Delhi,Cochin,6/03/2019
Jet Airways,2N,3652,OSL,644,VXO,711,0,SF3,9314,Kolkata,Banglore,1/05/2019
IndiGo,2N,3652,POR,448,ARN,737,0,SF3,4777,Banglore,New Delhi,24/03/2019
Air India,2N,3652,POR,448,KOK,435,0,SF3,7662,Kolkata,Banglore,9/06/2019
IndiGo,2N,3652,TKU,460,MHQ,442,0,SF3,6442,Delhi,Cochin,9/05/2019
SpiceJet,2N,3652,TRF,664,ARN,737,0,SF3,5264,Delhi,Cochin,12/06/2019
Jet Airways,2N,3652,VBY,746,ARN,737,0,SF3 ATP,12898,Delhi,Cochin,27/05/2019
Air India,2N,3652,VHM,729,ARN,737,0,SF3,6092,Mumbai,Hyderabad,3/03/2019
SpiceJet,2N,3652,VHM,729,HMV,5599,0,SF3,3311,Banglore,Delhi,21/05/2019
Jet Airways,2N,3652,VXO,711,ARN,737,0,SF3,6540,Delhi,Cochin,27/03/2019
IndiGo,2N,3652,VXO,711,OSL,644,0,SF3,3419,Banglore,Delhi,27/05/2019
Jet Airways,2O,146,ADQ,3531,AOS,7167,0,BNI,5177,Delhi,Cochin,3/04/2019
Air India,2O,146,ADQ,3531,KKB,7168,0,BNI,8246,Delhi,Cochin,18/04/2019
Jet Airways,2O,146,ADQ,3531,KLN,7162,0,BNI,14676,Kolkata,Banglore,9/06/2019
Multiple carriers,2O,146,ADQ,3531,KOZ,7164,0,BNI,13587,Delhi,Cochin,27/06/2019
Jet Airways,2O,146,ADQ,3531,OLH,7163,0,BNI,9663,Kolkata,Banglore,6/05/2019
Jet Airways,2O,146,AOS,7167,KZB,7176,0,BNI,13044,Kolkata,Banglore,12/06/2019
IndiGo,2O,146,KKB,7168,SYB,7173,0,BNI,5073,Delhi,Cochin,3/04/2019
Vistara,2O,146,KLN,7162,KYK,7161,0,BNI,9345,Kolkata,Banglore,21/05/2019
Jet Airways,2O,146,KOZ,7164,ORI,7165,0,BNI,9663,Kolkata,Banglore,6/05/2019
Multiple carriers,2O,146,SYB,7173,KPR,7172,0,BNI,14277,Delhi,Cochin,21/05/2019
Jet Airways,2P,897,BSO,6019,MNL,2397,0,DH4,10262,Delhi,Cochin,1/06/2019
Jet Airways,2P,897,BXU,4200,MNL,2397,0,320,5678,Mumbai,Hyderabad,27/03/2019
Multiple carriers,2P,897,CBO,2399,MNL,2397,0,320,13727,Delhi,Cochin,15/05/2019
Jet Airways,2P,897,CGY,2400,MNL,2397,0,320,9663,Kolkata,Banglore,6/05/2019
IndiGo,2P,897,CRM,6024,MNL,2397,0,DH4,3858,Chennai,Kolkata,12/05/2019
SpiceJet,2P,897,DGT,2425,MNL,2397,0,320,4812,Delhi,Cochin,24/06/2019
IndiGo,2P,897,DWC,8076,MNL,2397,0,330,5775,Delhi,Cochin,27/06/2019
Jet Airways,2P,897,GES,2402,MNL,2397,0,320,10539,Kolkata,Banglore,6/06/2019
IndiGo,2P,897,KLO,2430,MNL,2397,0,320,4804,Kolkata,Banglore,3/06/2019
Air Asia,2P,897,LGP,4203,MNL,2397,0,320,3383,Banglore,Delhi,12/06/2019
IndiGo,2P,897,MNL,2397,BSO,6019,0,DH4,8738,Banglore,New Delhi,03/03/2019
Air India,2P,897,MNL,2397,BXU,4200,0,320,7165,Delhi,Cochin,27/03/2019
IndiGo,2P,897,MNL,2397,CBO,2399,0,320,6412,Delhi,Cochin,24/06/2019
Jet Airways,2P,897,MNL,2397,CGY,2400,0,320,8016,Banglore,Delhi,27/06/2019
Jet Airways,2P,897,MNL,2397,CRM,6024,0,DH4,11087,Banglore,New Delhi,12/03/2019
SpiceJet,2P,897,MNL,2397,DGT,2425,0,320,3543,Chennai,Kolkata,27/06/2019
Jet Airways,2P,897,MNL,2397,DWC,8076,0,330,12471,Kolkata,Banglore,12/06/2019
Jet Airways,2P,897,MNL,2397,GES,2402,0,320,10262,Delhi,Cochin,24/06/2019
Air India,2P,897,MNL,2397,KLO,2430,0,320,4441,Banglore,New Delhi,18/03/2019
Multiple carriers,2P,897,MNL,2397,LGP,4203,0,320,12537,Delhi,Cochin,27/03/2019
GoAir,2P,897,MNL,2397,MPH,2426,0,DH3,10091,Kolkata,Banglore,24/03/2019
Air India,2P,897,MNL,2397,OZC,4204,0,320,6961,Banglore,Delhi,3/06/2019
IndiGo,2P,897,MNL,2397,PPS,2433,0,320,5013,Delhi,Cochin,24/04/2019
Air India,2P,897,MNL,2397,RXS,6026,0,320,6934,Delhi,Cochin,18/05/2019
Multiple carriers,2P,897,MNL,2397,SUG,6016,0,DH4,10877,Delhi,Cochin,3/06/2019
Jet Airways,2P,897,MNL,2397,TUG,6021,0,DH4,7229,Banglore,Delhi,18/04/2019
IndiGo,2P,897,MNL,2397,ZAM,2404,0,320,7048,Delhi,Cochin,27/03/2019
Vistara,2P,897,MPH,2426,MNL,2397,0,DH3,4878,Banglore,Delhi,27/06/2019
Jet Airways,2P,897,OZC,4204,MNL,2397,0,320,10844,Kolkata,Banglore,21/05/2019
Jet Airways,2P,897,PPS,2433,MNL,2397,0,320,15129,Delhi,Cochin,18/05/2019
IndiGo,2P,897,RXS,6026,MNL,2397,0,320,3943,Banglore,Delhi,12/05/2019
SpiceJet,2P,897,SUG,6016,MNL,2397,0,DH4,5583,Delhi,Cochin,6/06/2019
Multiple carriers,2P,897,TUG,6021,MNL,2397,0,DH4,9646,Delhi,Cochin,6/06/2019
Multiple carriers,2P,897,ZAM,2404,MNL,2397,0,320,7677,Delhi,Cochin,3/06/2019
IndiGo,2Z,1729,AUX,7376,PMW,4214,0,AT7,6842,Delhi,Cochin,1/06/2019
Jet Airways,2Z,1729,BRA,7373,BSB,2531,0,AT7,4995,Mumbai,Hyderabad,24/06/2019
Vistara,2Z,1729,BRA,7373,SSA,2621,0,AT7,9555,Kolkata,Banglore,9/06/2019
IndiGo,2Z,1729,BSB,2531,BRA,7373,0,AT7,4077,Banglore,Delhi,1/06/2019
Jet Airways,2Z,1729,BSB,2531,OPS,7367,0,AT7,7229,Banglore,Delhi,12/05/2019
Multiple carriers,2Z,1729,BSB,2531,RAO,2613,0,AT7,12192,Delhi,Cochin,9/06/2019
Air India,2Z,1729,CAC,2535,GRU,2564,0,AT7,5911,Banglore,Delhi,12/04/2019
Air India,2Z,1729,CGB,2548,GYN,2562,0,AT7,8372,Delhi,Cochin,12/06/2019
Jet Airways,2Z,1729,CGB,2548,OPS,7367,0,AT7,4995,Mumbai,Hyderabad,18/03/2019
Multiple carriers,2Z,1729,CGR,2538,DOU,7380,0,AT7,14323,Delhi,Cochin,9/05/2019
Jet Airways,2Z,1729,DOU,7380,CGR,2538,0,AT7,13014,Delhi,Cochin,9/06/2019
Air India,2Z,1729,DOU,7380,GRU,2564,0,AT7,13591,Delhi,Cochin,6/06/2019
Jet Airways,2Z,1729,GIG,2560,RAO,2613,0,AT7,18799,Delhi,Cochin,3/03/2019
IndiGo,2Z,1729,GRU,2564,CAC,2535,0,AT7,3943,Banglore,Delhi,27/04/2019
SpiceJet,2Z,1729,GRU,2564,DOU,7380,0,AT7,1965,Mumbai,Hyderabad,21/05/2019
Jet Airways,2Z,1729,GRU,2564,RAO,2613,0,AT7,4995,Mumbai,Hyderabad,27/05/2019
Air India,2Z,1729,GRU,2564,UBA,2635,0,AT7,14641,Kolkata,Banglore,24/03/2019
Air India,2Z,1729,GRU,2564,UDI,2633,0,AT7,4460,Kolkata,Banglore,12/04/2019
Air India,2Z,1729,GRU,2564,VDC,6039,0,AT7,10191,Delhi,Cochin,18/05/2019
Jet Airways,2Z,1729,GYN,2562,CGB,2548,0,AT7,13843,Delhi,Cochin,9/03/2019
IndiGo,2Z,1729,GYN,2562,PMW,4214,0,AT7,6349,Delhi,Cochin,1/05/2019
Air Asia,2Z,1729,GYN,2562,RAO,2613,0,AT7,4409,Kolkata,Banglore,1/05/2019
Jet Airways,2Z,1729,GYN,2562,UDI,2633,0,AT7,17024,Delhi,Cochin,6/03/2019
Multiple carriers,2Z,1729,OPS,7367,BSB,2531,0,AT7,13727,Delhi,Cochin,18/05/2019
IndiGo,2Z,1729,OPS,7367,CGB,2548,0,AT7,8855,Banglore,New Delhi,15/03/2019
Multiple carriers,2Z,1729,PLU,2528,RAO,2613,0,AT7,12524,Delhi,Cochin,24/06/2019
Jet Airways,2Z,1729,PMW,4214,AUX,7376,0,AT7,13555,Banglore,New Delhi,18/03/2019
Jet Airways,2Z,1729,PMW,4214,GYN,2562,0,AT7,10844,Kolkata,Banglore,6/06/2019
Multiple carriers,2Z,1729,RAO,2613,BSB,2531,0,AT7,13587,Delhi,Cochin,9/06/2019
SpiceJet,2Z,1729,RAO,2613,GIG,2560,0,AT7,3543,Chennai,Kolkata,12/06/2019
Vistara,2Z,1729,RAO,2613,GRU,2564,0,AT7,4842,Chennai,Kolkata,18/03/2019
IndiGo,2Z,1729,RAO,2613,GYN,2562,0,AT7,3943,Banglore,Delhi,24/04/2019
Jet Airways,2Z,1729,RAO,2613,PLU,2528,0,AT7,10577,Delhi,Cochin,9/06/2019
IndiGo,2Z,1729,RAO,2613,SJP,2619,0,AT7,6979,Delhi,Cochin,15/05/2019
Vistara,2Z,1729,RAO,2613,UDI,2633,0,AT7,11982,Chennai,Kolkata,27/06/2019
SpiceJet,2Z,1729,SJP,2619,RAO,2613,0,AT7,5264,Delhi,Cochin,6/06/2019
Vistara,2Z,1729,SSA,2621,BRA,7373,0,AT7,8001,Delhi,Cochin,3/03/2019
Air India,2Z,1729,SSA,2621,VDC,6039,0,AT7,10651,Delhi,Cochin,1/06/2019
Jet Airways,2Z,1729,UBA,2635,GRU,2564,0,AT7,10844,Kolkata,Banglore,24/05/2019
Multiple carriers,2Z,1729,UBA,2635,UDI,2633,0,AT7,6601,Delhi,Cochin,27/03/2019
Air India,2Z,1729,UDI,2633,GRU,2564,0,AT7,6587,Delhi,Cochin,21/03/2019
SpiceJet,2Z,1729,UDI,2633,GYN,2562,0,AT7,3173,Mumbai,Hyderabad,21/03/2019
Air India,2Z,1729,UDI,2633,RAO,2613,0,AT7,5228,Banglore,Delhi,9/05/2019
Jet Airways,2Z,1729,UDI,2633,UBA,2635,0,AT7,5769,Banglore,Delhi,21/06/2019
Jet Airways,2Z,1729,VDC,6039,GRU,2564,0,AT7,14714,Delhi,Cochin,6/06/2019
Jet Airways,2Z,1729,VDC,6039,SSA,2621,0,AT7,13014,Delhi,Cochin,3/06/2019
IndiGo,3E,10739,BRL,5726,ORD,3830,0,CNC,3359,Banglore,Delhi,3/06/2019
GoAir,3E,10739,BRL,5726,STL,3678,0,CNC,6722,Banglore,New Delhi,03/03/2019
IndiGo,3E,10739,DEC,4042,ORD,3830,0,CNC,4462,Kolkata,Banglore,18/03/2019
IndiGo,3E,10739,DEC,4042,STL,3678,0,CNC,6171,Delhi,Cochin,9/03/2019
Air India,3E,10739,JBR,3591,STL,3678,0,CNC,12303,Kolkata,Banglore,21/05/2019
Multiple carriers,3E,10739,ORD,3830,BRL,5726,0,CNC,7695,Delhi,Cochin,21/03/2019
IndiGo,3E,10739,ORD,3830,DEC,4042,0,CNC,5684,Delhi,Cochin,24/06/2019
